ID,Priority,Repo,Command,Status,PID,LogPath
TASK-001,High,NeonDrifterz/jules-vliw-strike,python3 perf_takehome.py --seed 127,PENDING,,
TASK-002,High,NeonDrifterz/jules-vliw-strike,python3 perf_takehome.py --seed 128,PENDING,,
TASK-003,High,NeonDrifterz/jules-vliw-strike,python3 perf_takehome.py --seed 129,PENDING,,
TASK-004,High,NeonDrifterz/jules-vliw-strike,python3 perf_takehome.py --seed 130,PENDING,,
TASK-005,High,NeonDrifterz/jules-vliw-strike,python3 perf_takehome.py --seed 131,PENDING,,
TASK-006,High,NeonDrifterz/longevity-metrology-lab,python3 industrial_guard.py --interval 15,PENDING,,
TASK-007,High,NeonDrifterz/longevity-metrology-lab,python3 industrial_guard.py --interval 60,PENDING,,
TASK-008,High,NeonDrifterz/longevity-metrology-lab,python3 industrial_guard.py --interval 300,PENDING,,
TASK-009,High,NeonDrifterz/icarus,./icarus_saturator.sh,PENDING,,
TASK-010,High,NeonDrifterz/icarus,cargo test --all-features,PENDING,,
