Variation 1: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 42} => 1271 cycles
Variation 2: {'n_groups': 32, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 42} => 1273 cycles
Variation 3: {'n_groups': 8, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 42} => 1281 cycles
Variation 4: {'n_groups': 4, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 42} => 1340 cycles
Variation 5: {'n_groups': 2, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 42} => 1376 cycles
Variation 6: {'n_groups': 1, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 42} => 1525 cycles
Variation 7: {'n_groups': 16, 'offset': 0, 'n_iters': 100, 'scheduler_seed': 42} => 1538 cycles
Variation 8: {'n_groups': 16, 'offset': 2, 'n_iters': 100, 'scheduler_seed': 42} => 1274 cycles
Variation 9: {'n_groups': 16, 'offset': 3, 'n_iters': 100, 'scheduler_seed': 42} => 1304 cycles
Variation 10: {'n_groups': 16, 'offset': 4, 'n_iters': 100, 'scheduler_seed': 42} => 1511 cycles
Variation 11: {'n_groups': 16, 'offset': 1, 'n_iters': 10, 'scheduler_seed': 42} => 1271 cycles
Variation 12: {'n_groups': 16, 'offset': 1, 'n_iters': 50, 'scheduler_seed': 42} => 1271 cycles
Variation 13: {'n_groups': 16, 'offset': 1, 'n_iters': 200, 'scheduler_seed': 42} => 1271 cycles
Variation 14: {'n_groups': 16, 'offset': 1, 'n_iters': 500, 'scheduler_seed': 42} => 1271 cycles
Variation 15: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 0} => 1271 cycles
Variation 16: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 1} => 1271 cycles
Variation 17: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 2} => 1271 cycles
Variation 18: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 3} => 1271 cycles
Variation 19: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 4} => 1271 cycles
Variation 20: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 5} => 1271 cycles
Variation 21: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 6} => 1271 cycles
Variation 22: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 7} => 1271 cycles
Variation 23: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 8} => 1271 cycles
Variation 24: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 9} => 1271 cycles
Variation 25: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 10} => 1271 cycles
Variation 26: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 11} => 1271 cycles
Variation 27: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 12} => 1271 cycles
Variation 28: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 13} => 1271 cycles
Variation 29: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 14} => 1271 cycles
Variation 30: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 15} => 1271 cycles
Variation 31: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 16} => 1271 cycles
Variation 32: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 17} => 1271 cycles
Variation 33: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 18} => 1271 cycles
Variation 34: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 19} => 1271 cycles
Variation 35: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 20} => 1271 cycles
Variation 36: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 21} => 1271 cycles
Variation 37: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 22} => 1271 cycles
Variation 38: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 23} => 1271 cycles
Variation 39: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 24} => 1271 cycles
Variation 40: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 25} => 1271 cycles
Variation 41: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 26} => 1271 cycles
Variation 42: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 27} => 1271 cycles
Variation 43: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 28} => 1271 cycles
Variation 44: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 29} => 1271 cycles
Variation 45: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 30} => 1271 cycles
Variation 46: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 31} => 1271 cycles
Variation 47: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 32} => 1271 cycles
Variation 48: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 33} => 1271 cycles
Variation 49: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 34} => 1271 cycles
Variation 50: {'n_groups': 16, 'offset': 1, 'n_iters': 100, 'scheduler_seed': 35} => 1271 cycles
